Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Honda,Model B,2015,1.3,156577,Diesel,Manual,19240.9969
Audi,Model D,2017,1.1,192529,Electric,Manual,20281.77926
BMW,Model E,2000,3.7,156962,Electric,Automatic,19178.74563
Audi,Model D,2007,2.9,183057,Petrol,Manual,22090.03344
Audi,Model D,2000,3.4,108269,Petrol,Manual,21124.23765
Ford,Model E,2000,2.3,35013,Diesel,Manual,21312.91629
BMW,Model D,2018,1,165025,Electric,Manual,21214.75534
BMW,Model E,2020,2.2,133536,Diesel,Manual,23690.91989
BMW,Model E,2009,3.1,74111,Diesel,Automatic,28876.65211
Audi,Model E,2017,1.8,112839,Diesel,Automatic,27231.5721
Honda,Model B,2011,3.4,46825,Diesel,Manual,29512.07132
BMW,Model C,2016,3.8,160638,Diesel,Automatic,29433.79845
Audi,Model B,2000,2.6,94035,Electric,Manual,21648.50172
Ford,Model E,2007,4.1,1521,Petrol,Automatic,31702.95904
Honda,Model C,2009,4,17363,Diesel,Automatic,30565.0282
Ford,Model C,2009,4.1,80938,Electric,Automatic,27728.81561
Honda,Model E,2017,3.3,122159,Diesel,Manual,25035.36404
Audi,Model C,2008,2.1,142534,Electric,Automatic,22219.68382
Toyota,Model C,2001,2.7,73109,Petrol,Automatic,20851.65475
Honda,Model B,2002,3.5,182177,Petrol,Manual,20023.02668
Ford,Model C,2001,1.7,54698,Electric,Automatic,21631.88016
Audi,Model E,2005,3.6,158175,Diesel,Automatic,20994.5436
Honda,Model A,2011,2.9,119511,Petrol,Manual,26006.7019
Toyota,Model A,2021,1.3,147579,Diesel,Automatic,23161.76027
Toyota,Model A,2018,3,96783,Diesel,Manual,26212.57795
BMW,Model E,2014,1.2,194173,Electric,Manual,18388.20177
BMW,Model A,2018,1.1,98829,Diesel,Manual,26134.94422
Ford,Model B,2011,4.1,116774,Electric,Manual,28580.35398
Honda,Model E,2017,2.7,179398,Electric,Automatic,24115.91924
Honda,Model E,2015,2.9,141419,Electric,Manual,23426.45421
BMW,Model E,2001,2,6099,Petrol,Automatic,25803.69004
Honda,Model C,2010,2.9,75104,Diesel,Manual,25329.20838
Honda,Model C,2011,1.6,4406,Electric,Manual,28254.52547
Toyota,Model C,2004,3.6,159109,Electric,Automatic,21252.90833
BMW,Model D,2005,3.9,102439,Diesel,Manual,24316.61911
Audi,Model B,2010,4,188250,Petrol,Manual,18702.31108
BMW,Model E,2020,1.4,135948,Electric,Manual,23658.84555
Audi,Model E,2009,3,90692,Electric,Manual,25898.63813
Toyota,Model C,2003,3.8,161943,Electric,Automatic,23149.99115
Ford,Model E,2008,1.4,96442,Electric,Manual,22334.55615
Honda,Model E,2011,1.3,102829,Diesel,Automatic,22931.23903
Toyota,Model A,2009,3.9,112631,Electric,Manual,21691.07067
Honda,Model E,2013,3.8,44895,Petrol,Manual,32969.07804
Ford,Model D,2004,2.6,43760,Diesel,Automatic,25859.53328
Ford,Model C,2000,1.4,46306,Petrol,Automatic,20624.09934
Toyota,Model B,2004,2.8,75179,Diesel,Automatic,23380.82206
Ford,Model B,2015,2.4,147659,Diesel,Manual,24928.00905
Audi,Model A,2004,2.8,76554,Diesel,Manual,25228.30652
Ford,Model B,2004,2.5,135285,Petrol,Automatic,19130.21821
Honda,Model B,2017,3,141116,Petrol,Manual,27197.7352
Honda,Model C,2005,3.5,131015,Electric,Manual,21336.0456
Honda,Model C,2020,3.7,44425,Petrol,Automatic,34210.24518
Honda,Model D,2017,3.3,152448,Electric,Automatic,26706.74372
